 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0000, tp,    89,    0.000636416,   -0.001238600,    0.000000086,  140.642877174,   58.393712819,   -0.004579926,    0.001178116,    0.198674411,    0.004059708
         0.0000, tp,    90,   -0.000701745,    0.001178718,    0.000000135, -123.104532202,  -95.038107237,    0.012102448,    0.001183039,    0.198815092,    0.007667131
         0.0000, tp,    91,    0.001027590,   -0.000966298,    0.000000050,   95.746393114,  116.498319885,   -0.021259327,    0.001187808,    0.198640555,    0.008212425
         0.0000, tp,    92,    0.001298609,   -0.000323939,   -0.000000136,   63.203377535,  147.997806659,    0.012493184,    0.001192871,    0.199062720,    0.007971033
         0.0000, tp,    93,    0.000838155,    0.001024627,    0.000000166, -107.008446621,  123.430611921,    0.011076270,    0.001197784,    0.199178964,    0.007677594
         0.0000, tp,    94,   -0.000793050,    0.000818651,    0.000000160, -160.288927307, -103.787312535,   -0.013359286,    0.001203284,    0.200466752,    0.009858362
         0.0000, tp,    95,    0.001320203,    0.000282577,    0.000000183,   -7.829608332,  160.389957364,    0.020724935,    0.001207450,    0.199089050,    0.009948197
         0.0000, tp,    96,   -0.000233082,   -0.001020879,    0.000000095,  206.462724318,  -15.514631205,    0.008727219,    0.001213445,    0.201341212,    0.006106117
         0.0000, tp,    97,   -0.000356027,    0.001224560,   -0.000000016, -171.056570119,  -15.025162989,   -0.022849150,    0.001217421,    0.199605197,    0.007663867
         0.0000, tp,    98,   -0.000608403,    0.000798623,   -0.000000098, -182.821531651, -113.807848242,    0.014431363,    0.001223424,    0.201846212,    0.007096583
         0.0000, tp,    99,    0.000210735,    0.001066244,    0.000000154, -188.186525256,   71.279225087,   -0.002765496,    0.001227897,    0.201095253,    0.008428140
         0.0000, tp,   100,    0.001159762,    0.000178569,    0.000000080,  -64.183290224,  176.449046202,   -0.010888057,    0.001232409,    0.200420454,    0.004693717
         0.0001, pl,     2,    0.000727243,   -0.000990259,    0.000000000,  143.437866822,  109.157656906,    0.000000000,    0.001242434,    0.020372229,    0.000000000
         0.0001, tp,     1,    0.000074351,    0.000851655,   -0.000000108, -194.126564769,   45.955426554,   -0.026692716,    0.000751090,    0.199208081,    0.009856482
         0.0001, tp,     2,    0.000556936,   -0.000255869,   -0.000000046,  132.836812262,  242.938996451,   -0.028103822,    0.000756872,    0.202138588,    0.007023992
         0.0001, tp,     3,   -0.000096167,   -0.000665511,   -0.000000070,  255.989072638,    5.514150945,   -0.013966068,    0.000761241,    0.200596884,    0.007273703
         0.0001, tp,     4,    0.000788423,    0.000386568,   -0.000000039,  -61.518056057,  185.932407203,    0.022945321,    0.000765630,    0.199124306,    0.007555906
         0.0001, tp,     5,    0.000418334,    0.000772912,    0.000000097, -157.704762189,  117.183188595,    0.003915669,    0.000770502,    0.199176148,    0.006316278
         0.0001, tp,     6,   -0.000633272,   -0.000162299,    0.000000103,   32.426472007, -262.428164911,   -0.006096551,    0.000776259,    0.201958507,    0.009349540
         0.0001, tp,     7,    0.000876533,   -0.000306059,   -0.000000032,   50.921593631,  178.432805854,   -0.018991456,    0.000780019,    0.198577911,    0.006296793
         0.0001, tp,     8,    0.000931910,    0.000000070,   -0.000000065,  -12.459951550,  185.126045837,    0.020485475,    0.000784875,    0.198584139,    0.007279039
         0.0001, tp,     9,   -0.000314471,    0.000553276,    0.000000004, -229.421278330, -146.661986848,   -0.012993407,    0.000790773,    0.201749653,    0.002741624
         0.0001, tp,    10,    0.000007695,    0.000952229,   -0.000000081, -182.268981551,    3.060761274,   -0.015716014,    0.000794592,    0.198609322,    0.006903912
